1962,,תל אביב,כ'בין קיינמאל נישט אוועק פון דער היים,"אקערמאן, העניך"
1957,,פאריז,פאעמען און לידער פון פיין,"אקערמאן, יעקב יהודה"
1960,,בוענאס איירעס,אויסגעלאשענע שטערן,"אקערמאן, מענדל"
1990,ישראל בוך,תל אביב,לובלינער דערינערונגען,"אקערמאן, נאטעק"
1948,ניי לעבן,לאדזש,א בוים אין ווינט. דערציילונגען,"אקרוטני, י"
1960,,בוענאס איירעס,א שטיין צוקאפנס,"אקרוטני, יוסף"
1988,יידישבוך,בוענאס איירעס,הונגעריקער פרילינג,"אקרוטני, יוסף"
1989,,תל אביב,יארן פון צארן,"אקרוטני, יוסף"
1982,,תל אביב,צווישן גרענעצן,"אקרוטני, יוסף"
1983,ניי לעבן,תל אביב,קובא: לידער און פאעמען.,"אראנאווסקי, ע"
1924,אידישער ליטערארישער פארלאג,בערלין,מארק שאגאל,"אראנסאן, ב"
1944,וועקער פארלאג,ניו יארק,די יידישע פראבלעם אין סאוועט-רוסלאנד,"אראנסאן, גריגארי"
1936,,ניו יארק,In Tsiens vayngertner : poemen un baladen.,"אראנסאן, מ"
1965,אסטראווער,תל אביב,פון וואנקוווער ביז אילת,"ארזשיצער, א. מ."
1943,,לאנדאן,פראלעטארישע יוגנט,"ארזשיצער, אברהם מרדכי"
1911,ב. שימין,ווארשע,מירטאלא. ראמאן,"ארזשעשקא, עליזא"
1911,ב. שמעון,ווארשע,מירטאלא. ראמאן,"ארזשעשקא, עליזא"
1984,המנורה,תל אביב,שבת.,"ארליך, יוסף"
1970,המנורה,תל אביב,שבת.,"ארליך, יוסף"
1921,,ניו יארק,ליטע,"ארלין, מרדכי"
